timestamp,target_timestamp,callback_time
144315.383333333,144315.400000000,144315.384234625
144315.400000000,144315.416666667,144315.401065458
144315.416666667,144315.433333333,144315.417800458
144315.433333333,144315.450000000,144315.434412000
144315.450000000,144315.466666667,144315.451056750
144315.466666667,144315.483333333,144315.467728667
144315.483333333,144315.500000000,144315.484417583
144315.500000000,144315.516666667,144315.501080167
144315.516666667,144315.533333333,144315.517720333
144315.533333333,144315.550000000,144315.534390625
144315.550000000,144315.566666667,144315.551074333
144315.566666667,144315.583333333,144315.567715167
144315.583333333,144315.600000000,144315.584390292
144315.600000000,144315.616666667,144315.601057625
144315.616666667,144315.633333333,144315.617732208
144315.633333333,144315.650000000,144315.634387958
144315.650000000,144315.666666667,144315.651051583
144315.666666667,144315.683333333,144315.667723667
144315.683333333,144315.700000000,144315.684391333
144315.700000000,144315.716666667,144315.701058250
144315.716666667,144315.733333333,144315.717724042
144315.733333333,144315.750000000,144315.734389583
144315.750000000,144315.766666667,144315.751055625
144315.766666667,144315.783333333,144315.767736125
144315.783333333,144315.800000000,144315.784391833
144315.800000000,144315.816666667,144315.801069667
144315.816666667,144315.833333333,144315.817728000
144315.833333333,144315.850000000,144315.834386958
144315.850000000,144315.866666667,144315.851052542
144315.866666667,144315.883333333,144315.867716750
144315.883333333,144315.900000000,144315.884381958
144315.900000000,144315.916666667,144315.901062875
144315.916666667,144315.933333333,144315.917725333
144315.933333333,144315.950000000,144315.934377583
144315.950000000,144315.966666667,144315.951051708
144315.966666667,144315.983333333,144315.967712167
144315.983333333,144316.000000000,144315.984426833
144316.000000000,144316.016666667,144316.001048292
144316.016666667,144316.033333333,144316.017750750
144316.033333333,144316.050000000,144316.034389958
144316.050000000,144316.066666667,144316.051053250
144316.066666667,144316.083333333,144316.067696208
144316.083333333,144316.100000000,144316.084370000
144316.100000000,144316.116666667,144316.101038708
144316.116666667,144316.133333333,144316.117709125
144316.133333333,144316.150000000,144316.134377458
144316.150000000,144316.166666667,144316.151038083
144316.166666667,144316.183333333,144316.167708958
144316.183333333,144316.200000000,144316.184390250
144316.200000000,144316.216666667,144316.201053458
144316.216666667,144316.233333333,144316.217723417
144316.233333333,144316.250000000,144316.234393542
144316.250000000,144316.266666667,144316.251063125
144316.266666667,144316.283333333,144316.267712333
144316.283333333,144316.300000000,144316.284385292
144316.300000000,144316.316666667,144316.301054458
144316.316666667,144316.333333333,144316.317725625
144316.333333333,144316.350000000,144316.334379833
144316.350000000,144316.366666667,144316.351057083
144316.366666667,144316.383333333,144316.367717958
144316.383333333,144316.400000000,144316.384374333
144316.400000000,144316.416666667,144316.401049167
144316.416666667,144316.433333333,144316.417718667
144316.433333333,144316.450000000,144316.434382292
144316.450000000,144316.466666667,144316.451044625
144316.466666667,144316.483333333,144316.467710000
144316.483333333,144316.500000000,144316.484374125
144316.500000000,144316.516666667,144316.501019292
144316.516666667,144316.533333333,144316.517689167
144316.533333333,144316.550000000,144316.534377583
144316.550000000,144316.566666667,144316.551018750
144316.566666667,144316.583333333,144316.567691792
144316.583333333,144316.600000000,144316.584360000
144316.600000000,144316.616666667,144316.601026042
144316.616666667,144316.633333333,144316.617691125
144316.633333333,144316.650000000,144316.634356917
144316.650000000,144316.666666667,144316.651017500
144316.666666667,144316.683333333,144316.667702000
144316.683333333,144316.700000000,144316.684356458
144316.700000000,144316.716666667,144316.701027125
144316.716666667,144316.733333333,144316.717699667
144316.733333333,144316.750000000,144316.734367583
144316.750000000,144316.766666667,144316.751020833
144316.766666667,144316.783333333,144316.767690750
144316.783333333,144316.800000000,144316.784346125
144316.800000000,144316.816666667,144316.801027750
144316.816666667,144316.833333333,144316.817698250
144316.833333333,144316.850000000,144316.834354292
144316.850000000,144316.866666667,144316.851021542
144316.866666667,144316.883333333,144316.867700792
144316.883333333,144316.900000000,144316.884357833
144316.900000000,144316.916666667,144316.901031417
144316.916666667,144316.933333333,144316.917689708
144316.933333333,144316.950000000,144316.934357125
144316.950000000,144316.966666667,144316.951027667
144316.966666667,144316.983333333,144316.967694958
144316.983333333,144317.000000000,144316.984378750
144317.000000000,144317.016666667,144317.001018958
144317.016666667,144317.033333333,144317.017686917
144317.033333333,144317.050000000,144317.034352458
144317.050000000,144317.066666667,144317.051027917
144317.066666667,144317.083333333,144317.067698833
144317.083333333,144317.100000000,144317.084357417
144317.100000000,144317.116666667,144317.101029875
144317.116666667,144317.133333333,144317.133806708
144317.133333333,144317.150000000,144317.150483333
144317.150000000,144317.166666667,144317.167131958
144317.166666667,144317.183333333,144317.183803917
144317.183333333,144317.200000000,144317.200464958
